time_in,time_out,side,tag,entry,sl,tp,exit,lots,pnl,r,reason,mae_r,equity_after
2023-09-12 11:15:00,2023-09-12 13:30:00,BUY,OB-CHoCH,1921.3,1916.71,1934.78,1916.71,0.17,-79.23,-1.015,SL,1.38,7552.56
2023-09-14 21:45:00,2023-09-15 04:30:00,SELL,OB-BOS,1907.98,1913.67,1889.11,1913.67,0.13,-74.87,-1.012,SL,1.26,7477.69
2023-09-20 10:00:00,2023-09-20 15:00:00,SELL,OB-CHoCH,1929.16,1933.53,1916.07,1933.53,0.17,-75.48,-1.016,SL,1.0,7402.21
2023-10-09 17:15:00,2023-10-13 15:15:00,BUY,FVG-POI,1850.9,1833.66,1903.92,1903.92,0.04,211.8,3.072,TP,0.13,7614.01
2023-10-24 22:30:00,2023-10-25 16:45:00,SELL,OB-CHoCH,1971.49,1981.84,1938.29,1981.84,0.07,-72.92,-1.007,SL,1.53,7541.08
2023-11-01 17:30:00,2023-11-03 14:30:00,SELL,FVG-POI,1978.15,1996.38,1919.15,1996.38,0.04,-73.2,-1.004,SL,1.41,7467.88
2023-11-06 10:00:00,2023-11-06 17:45:00,BUY,OB-CHoCH,1985.97,1981.54,2004.11,1981.54,0.17,-76.54,-1.016,SL,1.11,7391.34
2023-11-15 02:45:00,2023-11-15 16:45:00,BUY,FVG-POI,1963.86,1958.78,1989.12,1958.78,0.15,-77.3,-1.014,SL,1.67,7314.04
2023-11-16 15:30:00,2023-11-21 16:30:00,BUY,FVG-POI,1970.83,1960.42,2004.11,2004.11,0.07,232.47,3.189,TP,0.52,7546.51
2023-11-23 11:15:00,2023-11-27 03:00:00,SELL,OB-CHoCH,1992.49,2004.93,1955.37,2004.93,0.06,-75.06,-1.006,SL,1.09,7471.44
2023-12-07 20:30:00,2023-12-08 15:30:00,BUY,FVG-POI,2032.07,2015.09,2090.41,2015.09,0.04,-68.21,-1.004,SL,1.04,7403.24
2023-12-15 01:15:00,2023-12-15 15:30:00,BUY,FVG-POI,2038.84,2027.05,2090.41,2027.05,0.06,-71.14,-1.006,SL,1.01,7332.09
2023-12-15 17:00:00,2023-12-15 20:15:00,BUY,FVG-POI,2037.28,2024.69,2090.41,2024.69,0.06,-75.97,-1.006,SL,1.34,7256.13
2023-12-18 12:30:00,2023-12-18 19:45:00,SELL,FVG-POI,2019.58,2032.46,1979.68,2032.46,0.06,-77.67,-1.005,SL,1.09,7178.45
2023-12-20 15:45:00,2023-12-20 23:30:00,BUY,FVG-POI,2036.78,2028.17,2090.41,2028.17,0.08,-69.44,-1.008,SL,1.1,7109.01
2023-12-29 02:15:00,2023-12-29 15:45:00,BUY,OB-BOS,2067.74,2060.64,2088.51,2060.64,0.1,-71.71,-1.01,SL,1.36,7037.31
