time_in,time_out,side,tag,entry,sl,tp,exit,lots,pnl,r,reason,mae_r,equity_after
2013-11-13 14:45:00,2013-11-13 20:00:00,BUY,SweepEQL,1278.44,1270.52,1313.74,1270.52,0.09,-71.87,-1.009,SL,1.07,7246.05
2013-11-14 01:00:00,2013-11-20 13:15:00,BUY,SweepEQL,1283.52,1267.52,1340.0,1267.52,0.05,-80.35,-1.004,SL,1.55,7165.7
2013-11-21 11:15:00,2013-11-21 15:45:00,BUY,SweepEQL,1249.08,1242.62,1268.63,1242.62,0.11,-71.82,-1.011,SL,1.54,7093.87
2013-11-25 02:45:00,2013-11-25 08:00:00,BUY,SweepEQL,1244.07,1236.63,1268.63,1236.63,0.1,-75.08,-1.009,SL,2.33,7018.79
2013-11-25 15:45:00,2013-12-02 17:00:00,BUY,SweepEQL,1235.19,1227.11,1264.23,1227.11,0.09,-73.31,-1.009,SL,1.04,6945.48
2013-12-03 17:45:00,2013-12-04 10:00:00,BUY,SweepEQL,1223.57,1214.32,1252.92,1214.32,0.08,-74.54,-1.008,SL,1.22,6870.94
2013-12-10 10:45:00,2013-12-10 12:30:00,SELL,SweepEQH,1243.4,1248.19,1227.24,1248.19,0.14,-68.03,-1.015,SL,1.05,6802.91
2013-12-13 03:30:00,2013-12-13 10:00:00,BUY,SweepEQL,1228.7,1224.37,1244.79,1224.37,0.16,-70.48,-1.016,SL,1.33,6732.43
2013-12-13 13:00:00,2013-12-18 22:30:00,BUY,SweepEQL,1228.44,1219.82,1256.92,1219.82,0.08,-69.5,-1.008,SL,1.32,6662.93
2013-12-31 07:45:00,2013-12-31 15:45:00,BUY,SweepEQL,1199.74,1194.35,1216.11,1194.35,0.12,-65.58,-1.013,SL,3.21,6597.35
2014-01-07 06:15:00,2014-01-07 08:15:00,SELL,SweepEQH,1239.85,1244.3,1214.21,1244.3,0.15,-67.81,-1.016,SL,1.21,6529.54
2014-01-15 10:00:00,2014-01-16 07:45:00,SELL,SweepEQH,1239.55,1242.69,1227.16,1242.69,0.21,-67.5,-1.022,SL,1.1,6462.04
2014-01-17 03:00:00,2014-01-17 03:45:00,SELL,SweepEQH,1241.31,1243.45,1234.21,1243.45,0.3,-66.26,-1.033,SL,1.08,6395.78
2014-01-31 12:15:00,2014-02-05 15:15:00,BUY,SweepEQL,1245.38,1237.86,1267.67,1267.67,0.09,199.98,2.954,TP,0.79,6595.76
2014-02-06 06:45:00,2014-02-06 14:15:00,BUY,SweepEQL,1256.84,1254.86,1263.28,1263.28,0.33,210.21,3.211,TP,0.29,6805.97
2014-02-07 02:30:00,2014-02-07 15:30:00,BUY,SweepEQL,1258.53,1255.95,1266.75,1266.75,0.26,211.9,3.16,TP,0.83,7017.87
2014-02-18 03:00:00,2014-02-18 12:00:00,SELL,SweepEQH,1325.57,1329.49,1314.8,1314.8,0.18,192.6,2.727,TP,0.07,7210.47
2014-02-19 18:30:00,2014-02-20 22:15:00,SELL,SweepEQH,1318.32,1322.54,1304.39,1322.54,0.17,-72.98,-1.017,SL,1.25,7137.49
2014-02-21 18:00:00,2014-02-21 20:30:00,SELL,SweepEQH,1319.35,1326.09,1299.77,1326.09,0.11,-74.92,-1.01,SL,1.18,7062.58
2014-02-26 09:30:00,2014-02-26 15:00:00,SELL,SweepEQH,1341.9,1345.72,1331.21,1331.21,0.18,191.16,2.779,TP,0.28,7253.74
2014-02-28 05:00:00,2014-02-28 20:30:00,SELL,SweepEQH,1330.18,1333.53,1320.01,1320.01,0.22,222.2,3.017,TP,0.79,7475.94
